Longitude,Latitude,geometry,bio_1,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19
-124.08910698787956,41.88502041855679,POINT (-124.08910698787956 41.88502041855679),116.0,67,39,3633.0,216.0,46.0,170.0,72.0,169.0,171.0,72.0,2166.0,370.0,9.0,72.0,1083.0,59.0,59.0,1083.0
-118.42977448488466,32.88148857233334,POINT (-118.42977448488466 32.88148857233334),151.0,24,34,1683.0,191.0,119.0,72.0,134.0,162.0,177.0,132.0,228.0,44.0,1.0,85.0,128.0,4.0,16.0,125.0
-122.98949550539898,41.061046238252125,POINT (-122.98949550539898 41.061046238252125),63.0,117,39,6170.0,240.0,-58.0,300.0,-14.0,145.0,155.0,-14.0,938.0,161.0,7.0,69.0,477.0,38.0,44.0,477.0
-123.10381030782695,41.175060321469644,POINT (-123.10381030782695 41.175060321469644),88.0,115,39,6102.0,262.0,-32.0,294.0,10.0,168.0,179.0,10.0,1069.0,202.0,5.0,82.0,600.0,25.0,36.0,600.0
-117.03579872714869,36.39619032373877,POINT (-117.03579872714869 36.39619032373877),202.0,118,31,8798.0,401.0,29.0,371.0,100.0,278.0,326.0,84.0,76.0,13.0,1.0,56.0,36.0,5.0,15.0,35.0
-122.34273945838692,38.89866617600736,POINT (-122.34273945838692 38.89866617600736),137.0,117,41,5531.0,298.0,16.0,282.0,61.0,213.0,213.0,61.0,685.0,142.0,1.0,89.0,409.0,5.0,5.0,409.0
-121.5101632838666,41.025830591925086,POINT (-121.5101632838666 41.025830591925086),108.0,121,35,7564.0,311.0,-34.0,345.0,12.0,222.0,222.0,12.0,861.0,139.0,6.0,65.0,411.0,29.0,29.0,411.0
-117.15311034417523,36.69436924696047,POINT (-117.15311034417523 36.69436924696047),246.0,116,30,9248.0,450.0,66.0,383.0,139.0,326.0,375.0,121.0,83.0,11.0,2.0,41.0,33.0,8.0,19.0,30.0
-117.63133732737745,34.776810908320726,POINT (-117.63133732737745 34.776810908320726),169.0,130,39,6947.0,350.0,20.0,330.0,88.0,223.0,269.0,78.0,135.0,25.0,1.0,73.0,74.0,5.0,14.0,68.0
-122.71747506372623,38.053148985937526,POINT (-122.71747506372623 38.053148985937526),140.0,77,44,3262.0,234.0,61.0,173.0,94.0,183.0,183.0,94.0,867.0,185.0,1.0,89.0,517.0,7.0,7.0,517.0
-115.34624949344712,35.12240994644168,POINT (-115.34624949344712 35.12240994644168),149.0,128,36,7903.0,339.0,-14.0,353.0,261.0,217.0,261.0,44.0,256.0,41.0,3.0,49.0,114.0,14.0,114.0,74.0
-122.4608224903041,39.53716102495333,POINT (-122.4608224903041 39.53716102495333),156.0,120,39,6341.0,335.0,27.0,307.0,72.0,246.0,246.0,72.0,593.0,128.0,1.0,85.0,353.0,9.0,9.0,353.0
-119.42104344316085,38.138455518074764,POINT (-119.42104344316085 38.138455518074764),29.0,121,36,6950.0,211.0,-115.0,326.0,-56.0,132.0,132.0,-58.0,606.0,108.0,11.0,68.0,307.0,37.0,37.0,307.0
-122.83699008144993,39.02441130921942,POINT (-122.83699008144993 39.02441130921942),140.0,105,41,5062.0,286.0,30.0,255.0,71.0,208.0,210.0,71.0,865.0,184.0,1.0,89.0,534.0,9.0,9.0,534.0
-117.02549974994012,36.164460091279835,POINT (-117.02549974994012 36.164460091279835),145.0,119,33,8250.0,338.0,-18.0,357.0,49.0,216.0,262.0,35.0,90.0,16.0,1.0,60.0,45.0,6.0,21.0,40.0
-114.71286344574433,34.042267529288,POINT (-114.71286344574433 34.042267529288),239.0,129,36,7823.0,425.0,74.0,351.0,349.0,306.0,349.0,135.0,101.0,17.0,1.0,54.0,43.0,4.0,43.0,34.0
-118.68324434881364,36.52118585587007,POINT (-118.68324434881364 36.52118585587007),101.0,121,37,7071.0,283.0,-40.0,323.0,12.0,206.0,206.0,12.0,835.0,167.0,3.0,84.0,476.0,11.0,11.0,476.0
-117.29600197650542,35.330232571270436,POINT (-117.29600197650542 35.330232571270436),163.0,126,36,7737.0,354.0,5.0,348.0,73.0,227.0,274.0,61.0,145.0,29.0,1.0,71.0,84.0,6.0,25.0,66.0
-116.8115185890653,35.587769850191165,POINT (-116.8115185890653 35.587769850191165),174.0,124,34,8189.0,368.0,8.0,360.0,79.0,243.0,290.0,64.0,127.0,24.0,1.0,67.0,70.0,7.0,30.0,56.0
-116.15395007808704,35.934504959155475,POINT (-116.15395007808704 35.934504959155475),210.0,124,32,8775.0,410.0,32.0,377.0,108.0,287.0,332.0,91.0,172.0,28.0,2.0,53.0,82.0,11.0,42.0,65.0
-116.9445813408078,34.855094685262785,POINT (-116.9445813408078 34.855094685262785),192.0,131,37,7601.0,383.0,32.0,350.0,96.0,254.0,301.0,91.0,114.0,19.0,1.0,62.0,56.0,4.0,20.0,56.0
-123.677539304576,41.32350819347745,POINT (-123.677539304576 41.32350819347745),103.0,95,40,4907.0,244.0,6.0,237.0,42.0,167.0,176.0,42.0,1641.0,321.0,4.0,84.0,951.0,27.0,32.0,951.0
-124.26253179776224,40.53105231584048,POINT (-124.26253179776224 40.53105231584048),112.0,53,40,2846.0,188.0,54.0,133.0,77.0,146.0,153.0,77.0,1712.0,306.0,4.0,77.0,901.0,28.0,39.0,901.0
-124.10318686278592,40.705870986379956,POINT (-124.10318686278592 40.705870986379956),131.0,67,40,3455.0,227.0,62.0,164.0,89.0,179.0,182.0,89.0,1209.0,215.0,3.0,74.0,617.0,26.0,26.0,617.0
-121.05266588373023,40.54027661614479,POINT (-121.05266588373023 40.54027661614479),72.0,122,35,7338.0,269.0,-70.0,339.0,-21.0,181.0,181.0,-21.0,644.0,123.0,4.0,74.0,351.0,17.0,17.0,351.0
-116.9626159358438,34.19512233233337,POINT (-116.9626159358438 34.19512233233337),114.0,132,41,6337.0,287.0,-28.0,315.0,42.0,161.0,206.0,31.0,597.0,105.0,3.0,76.0,314.0,26.0,42.0,284.0
-118.69055686113117,38.053657564984206,POINT (-118.69055686113117 38.053657564984206),76.0,120,33,7908.0,270.0,-82.0,352.0,-24.0,127.0,193.0,-24.0,283.0,41.0,12.0,44.0,122.0,40.0,48.0,122.0
-123.97646206391313,41.97003054255215,POINT (-123.97646206391313 41.97003054255215),103.0,77,40,4043.0,216.0,24.0,192.0,53.0,155.0,164.0,53.0,2027.0,364.0,7.0,77.0,1087.0,45.0,49.0,1087.0
-118.2870687778664,35.038442153886976,POINT (-118.2870687778664 35.038442153886976),157.0,129,39,6793.0,336.0,13.0,323.0,79.0,247.0,256.0,70.0,171.0,34.0,1.0,85.0,99.0,5.0,9.0,94.0
-117.35860697381082,34.14949089445974,POINT (-117.35860697381082 34.14949089445974),190.0,128,41,6212.0,357.0,49.0,308.0,119.0,269.0,281.0,109.0,498.0,107.0,2.0,91.0,312.0,6.0,10.0,281.0
-120.04274065556699,38.6687819201835,POINT (-120.04274065556699 38.6687819201835),44.0,122,37,6698.0,226.0,-97.0,323.0,-41.0,143.0,143.0,-41.0,941.0,174.0,11.0,70.0,488.0,37.0,37.0,488.0
-115.27199990750876,33.08713056191344,POINT (-115.27199990750876 33.08713056191344),245.0,135,39,7181.0,429.0,88.0,340.0,196.0,300.0,347.0,150.0,66.0,10.0,0.0,58.0,26.0,0.0,25.0,26.0
-116.52331365001864,33.40662276836335,POINT (-116.52331365001864 33.40662276836335),150.0,131,43,5887.0,316.0,13.0,302.0,74.0,190.0,237.0,74.0,257.0,51.0,1.0,77.0,147.0,7.0,27.0,147.0
-120.87761050019024,40.10984235016147,POINT (-120.87761050019024 40.10984235016147),117.0,123,35,7507.0,317.0,-28.0,345.0,21.0,228.0,228.0,21.0,664.0,132.0,3.0,78.0,373.0,13.0,13.0,373.0
-115.04996344841152,32.89047832942416,POINT (-115.04996344841152 32.89047832942416),246.0,135,39,7220.0,429.0,88.0,341.0,325.0,302.0,349.0,150.0,70.0,11.0,0.0,56.0,27.0,1.0,27.0,27.0
-121.22655604587202,41.09363990663746,POINT (-121.22655604587202 41.09363990663746),92.0,121,35,7559.0,294.0,-49.0,344.0,-3.0,206.0,206.0,-3.0,551.0,88.0,5.0,60.0,261.0,23.0,23.0,261.0
-117.68897720579622,35.7980385658546,POINT (-117.68897720579622 35.7980385658546),193.0,122,34,8150.0,388.0,32.0,355.0,99.0,260.0,310.0,86.0,102.0,20.0,1.0,69.0,58.0,5.0,16.0,47.0
-119.09541937320627,36.34791780853552,POINT (-119.09541937320627 36.34791780853552),199.0,126,38,6964.0,382.0,55.0,327.0,110.0,301.0,301.0,110.0,411.0,80.0,1.0,83.0,223.0,3.0,3.0,223.0
-120.5593384804183,38.9970196988163,POINT (-120.5593384804183 38.9970196988163),107.0,122,38,6695.0,290.0,-30.0,321.0,20.0,205.0,205.0,20.0,1296.0,246.0,6.0,78.0,713.0,25.0,25.0,713.0
-118.0069713203556,36.35701417428817,POINT (-118.0069713203556 36.35701417428817),157.0,118,34,8002.0,348.0,1.0,347.0,64.0,221.0,273.0,53.0,167.0,34.0,2.0,81.0,97.0,9.0,12.0,95.0
-119.23148119651502,36.01830946622055,POINT (-119.23148119651502 36.01830946622055),199.0,129,39,6726.0,380.0,56.0,324.0,123.0,289.0,298.0,113.0,256.0,49.0,0.0,83.0,139.0,2.0,2.0,135.0
-123.53233339628834,41.556372308031754,POINT (-123.53233339628834 41.556372308031754),122.0,102,39,5390.0,276.0,17.0,259.0,55.0,192.0,203.0,55.0,1286.0,245.0,5.0,83.0,729.0,24.0,32.0,729.0
-119.15658468628321,36.76939145424178,POINT (-119.15658468628321 36.76939145424178),154.0,124,38,6894.0,337.0,13.0,323.0,81.0,256.0,256.0,67.0,656.0,119.0,1.0,81.0,344.0,4.0,4.0,331.0
-121.62420419073084,40.904645131054274,POINT (-121.62420419073084 40.904645131054274),119.0,121,35,7589.0,321.0,-24.0,346.0,22.0,233.0,233.0,22.0,731.0,122.0,4.0,66.0,358.0,23.0,23.0,358.0
-118.09880753909333,35.851695680642145,POINT (-118.09880753909333 35.851695680642145),93.0,123,37,7275.0,277.0,-54.0,331.0,8.0,171.0,199.0,0.0,312.0,60.0,2.0,80.0,177.0,13.0,23.0,162.0
-116.37078619204753,33.501909972085606,POINT (-116.37078619204753 33.501909972085606),137.0,134,42,6167.0,308.0,-3.0,312.0,57.0,181.0,227.0,57.0,154.0,30.0,0.0,68.0,82.0,4.0,28.0,82.0
-118.8489473208098,35.917503884274325,POINT (-118.8489473208098 35.917503884274325),185.0,127,38,7054.0,370.0,40.0,329.0,98.0,287.0,289.0,96.0,448.0,87.0,1.0,85.0,249.0,5.0,5.0,248.0
-123.6829379215691,40.019398775139166,POINT (-123.6829379215691 40.019398775139166),123.0,93,41,4639.0,257.0,28.0,228.0,64.0,183.0,191.0,64.0,1561.0,289.0,2.0,79.0,844.0,18.0,31.0,844.0
-121.62108994300812,36.48223945981813,POINT (-121.62108994300812 36.48223945981813),119.0,95,47,3412.0,228.0,27.0,200.0,76.0,163.0,165.0,71.0,567.0,115.0,1.0,89.0,323.0,5.0,5.0,321.0
-116.00898472768306,32.80751331709066,POINT (-116.00898472768306 32.80751331709066),202.0,135,43,6148.0,373.0,61.0,312.0,122.0,243.0,292.0,122.0,182.0,34.0,1.0,64.0,92.0,4.0,37.0,92.0
-118.90691352507115,34.58507808876954,POINT (-118.90691352507115 34.58507808876954),122.0,118,43,5386.0,273.0,0.0,273.0,59.0,191.0,200.0,54.0,388.0,85.0,1.0,94.0,250.0,3.0,5.0,212.0
-122.51965686325823,41.34800829016007,POINT (-122.51965686325823 41.34800829016007),46.0,121,38,6602.0,233.0,-83.0,317.0,-37.0,145.0,145.0,-37.0,1014.0,173.0,9.0,71.0,511.0,40.0,40.0,511.0
-117.66994509378725,37.16509902993654,POINT (-117.66994509378725 37.16509902993654),166.0,116,31,8701.0,366.0,-1.0,367.0,66.0,224.0,291.0,52.0,156.0,20.0,6.0,31.0,59.0,25.0,38.0,50.0
-123.43883047355472,40.680225871915695,POINT (-123.43883047355472 40.680225871915695),94.0,108,40,5444.0,252.0,-14.0,267.0,25.0,165.0,174.0,25.0,1462.0,288.0,3.0,86.0,838.0,21.0,29.0,838.0
-122.37115120426134,39.47002360293958,POINT (-122.37115120426134 39.47002360293958),169.0,121,38,6470.0,351.0,38.0,312.0,83.0,261.0,261.0,83.0,521.0,110.0,1.0,86.0,306.0,7.0,7.0,306.0
-119.35791149102432,34.55777898061988,POINT (-119.35791149102432 34.55777898061988),106.0,109,44,4740.0,242.0,-3.0,245.0,51.0,172.0,175.0,46.0,535.0,122.0,1.0,99.0,365.0,3.0,3.0,315.0
-116.19053031324603,34.04275335308832,POINT (-116.19053031324603 34.04275335308832),158.0,134,39,6959.0,340.0,6.0,334.0,66.0,212.0,258.0,66.0,125.0,21.0,0.0,57.0,60.0,2.0,32.0,60.0
-118.29288846384293,36.652059403891876,POINT (-118.29288846384293 36.652059403891876),-9.0,117,37,6870.0,165.0,-150.0,315.0,-90.0,83.0,91.0,-97.0,450.0,89.0,6.0,79.0,256.0,20.0,21.0,246.0
-119.13390667715981,34.653893874022366,POINT (-119.13390667715981 34.653893874022366),98.0,116,44,5146.0,245.0,-19.0,264.0,38.0,166.0,173.0,33.0,467.0,101.0,1.0,94.0,300.0,3.0,4.0,261.0
-115.71594416618582,33.24068983512021,POINT (-115.71594416618582 33.24068983512021),246.0,135,40,6946.0,428.0,93.0,335.0,155.0,297.0,346.0,155.0,66.0,11.0,0.0,58.0,31.0,1.0,19.0,31.0
-116.22659402977726,35.24844734108161,POINT (-116.22659402977726 35.24844734108161),193.0,129,35,8204.0,389.0,24.0,365.0,98.0,263.0,309.0,83.0,128.0,16.0,1.0,42.0,47.0,7.0,38.0,43.0
-122.29230138573651,40.34333283795636,POINT (-122.29230138573651 40.34333283795636),169.0,122,36,7323.0,366.0,29.0,337.0,74.0,276.0,276.0,74.0,773.0,151.0,3.0,77.0,431.0,17.0,17.0,431.0
-121.58938309848413,39.20038152708568,POINT (-121.58938309848413 39.20038152708568),180.0,123,39,6501.0,362.0,47.0,315.0,94.0,271.0,271.0,94.0,550.0,112.0,1.0,85.0,323.0,3.0,3.0,323.0
-119.12442078599608,34.681449907122264,POINT (-119.12442078599608 34.681449907122264),94.0,118,43,5266.0,245.0,-25.0,270.0,33.0,163.0,171.0,28.0,440.0,95.0,1.0,93.0,281.0,3.0,5.0,243.0
-116.93041142059255,36.493690800802156,POINT (-116.93041142059255 36.493690800802156),253.0,118,30,9240.0,457.0,72.0,384.0,146.0,334.0,382.0,128.0,68.0,11.0,1.0,53.0,31.0,5.0,13.0,30.0
-120.82378672791212,38.6448369584937,POINT (-120.82378672791212 38.6448369584937),157.0,122,39,6346.0,335.0,25.0,310.0,74.0,248.0,248.0,74.0,908.0,181.0,2.0,83.0,522.0,9.0,9.0,522.0
-120.48921085620563,40.762443391824064,POINT (-120.48921085620563 40.762443391824064),77.0,120,34,7738.0,280.0,-70.0,350.0,-22.0,193.0,193.0,-22.0,342.0,52.0,6.0,51.0,155.0,24.0,24.0,155.0
-120.14965293311998,41.36932510481157,POINT (-120.14965293311998 41.36932510481157),81.0,115,32,7960.0,287.0,-65.0,352.0,-19.0,202.0,202.0,-20.0,276.0,35.0,5.0,42.0,106.0,21.0,21.0,106.0
-118.33479211880554,36.209414923091934,POINT (-118.33479211880554 36.209414923091934),100.0,121,36,7285.0,284.0,-45.0,329.0,11.0,198.0,207.0,7.0,432.0,87.0,3.0,88.0,256.0,11.0,12.0,252.0
-122.34317384728678,40.498232053044376,POINT (-122.34317384728678 40.498232053044376),167.0,122,36,7359.0,365.0,26.0,338.0,72.0,275.0,275.0,72.0,985.0,201.0,3.0,80.0,569.0,21.0,21.0,569.0
-120.27932086614923,38.238398505364884,POINT (-120.27932086614923 38.238398505364884),111.0,122,39,6393.0,288.0,-23.0,311.0,29.0,204.0,204.0,29.0,1221.0,247.0,4.0,82.0,694.0,15.0,15.0,694.0
-122.75733724859022,38.22473652407776,POINT (-122.75733724859022 38.22473652407776),146.0,83,43,3602.0,250.0,60.0,190.0,95.0,194.0,194.0,95.0,806.0,182.0,1.0,90.0,504.0,7.0,7.0,504.0
-124.05350104805643,41.61772409736905,POINT (-124.05350104805643 41.61772409736905),122.0,69,39,3710.0,224.0,50.0,174.0,76.0,177.0,177.0,76.0,2100.0,386.0,7.0,79.0,1144.0,42.0,42.0,1144.0
-117.88816572232146,34.646563589181405,POINT (-117.88816572232146 34.646563589181405),169.0,129,40,6565.0,344.0,26.0,318.0,93.0,255.0,264.0,84.0,215.0,43.0,1.0,83.0,124.0,5.0,11.0,117.0
-116.69579604473743,34.916746566533895,POINT (-116.69579604473743 34.916746566533895),206.0,130,36,7890.0,400.0,41.0,358.0,114.0,271.0,318.0,101.0,109.0,16.0,1.0,52.0,46.0,4.0,28.0,46.0
-119.01620973165247,36.54506596515641,POINT (-119.01620973165247 36.54506596515641),172.0,124,37,7031.0,356.0,29.0,326.0,87.0,276.0,276.0,83.0,563.0,114.0,1.0,86.0,316.0,3.0,3.0,314.0
-114.99483114576941,35.2118288608828,POINT (-114.99483114576941 35.2118288608828),196.0,126,34,8320.0,389.0,25.0,364.0,100.0,269.0,312.0,85.0,160.0,22.0,2.0,47.0,66.0,7.0,51.0,62.0
-122.2690443977613,37.10473073093904,POINT (-122.2690443977613 37.10473073093904),133.0,58,46,2187.0,199.0,75.0,124.0,102.0,162.0,162.0,102.0,828.0,166.0,3.0,87.0,471.0,11.0,14.0,471.0
-121.66909334563388,41.69516984325247,POINT (-121.66909334563388 41.69516984325247),79.0,120,35,7257.0,279.0,-56.0,335.0,0.0,190.0,190.0,-11.0,392.0,50.0,8.0,39.0,145.0,37.0,37.0,140.0
-116.48635510129583,36.11180506309648,POINT (-116.48635510129583 36.11180506309648),175.0,121,33,8547.0,371.0,3.0,368.0,76.0,250.0,295.0,60.0,127.0,22.0,1.0,59.0,65.0,7.0,31.0,54.0
-120.69895535242411,40.144083818590886,POINT (-120.69895535242411 40.144083818590886),73.0,123,35,7367.0,270.0,-71.0,342.0,-21.0,182.0,182.0,-21.0,739.0,151.0,6.0,77.0,425.0,19.0,19.0,425.0
-122.57559619875434,39.21060178864714,POINT (-122.57559619875434 39.21060178864714),117.0,117,40,5729.0,284.0,-3.0,287.0,40.0,198.0,198.0,40.0,895.0,199.0,1.0,93.0,571.0,9.0,9.0,571.0
-123.25573272738724,38.91152994338239,POINT (-123.25573272738724 38.91152994338239),130.0,77,41,3728.0,235.0,48.0,187.0,80.0,177.0,182.0,80.0,969.0,206.0,1.0,87.0,586.0,11.0,13.0,586.0
-123.01664476492395,39.74468740306565,POINT (-123.01664476492395 39.74468740306565),78.0,112,40,5529.0,239.0,-36.0,276.0,6.0,153.0,157.0,6.0,1178.0,238.0,2.0,83.0,676.0,18.0,18.0,676.0
-117.91871885690185,35.723170715520524,POINT (-117.91871885690185 35.723170715520524),149.0,124,36,7658.0,338.0,-4.0,342.0,60.0,210.0,259.0,50.0,140.0,29.0,1.0,82.0,83.0,5.0,13.0,78.0
-121.76292483272232,36.28423854995674,POINT (-121.76292483272232 36.28423854995674),114.0,80,48,2856.0,204.0,37.0,167.0,76.0,153.0,153.0,75.0,933.0,208.0,1.0,93.0,569.0,6.0,6.0,568.0
-117.20371149516832,34.360474932651854,POINT (-117.20371149516832 34.360474932651854),143.0,131,40,6537.0,318.0,-1.0,320.0,67.0,227.0,237.0,58.0,529.0,98.0,2.0,81.0,292.0,15.0,25.0,269.0
-121.22166273328547,41.268792290204274,POINT (-121.22166273328547 41.268792290204274),99.0,120,34,7612.0,303.0,-42.0,345.0,3.0,215.0,215.0,3.0,387.0,60.0,4.0,56.0,178.0,18.0,18.0,178.0
-118.36146651839661,35.52360361825564,POINT (-118.36146651839661 35.52360361825564),99.0,127,39,6917.0,280.0,-44.0,325.0,13.0,191.0,199.0,10.0,370.0,71.0,2.0,82.0,202.0,7.0,15.0,201.0
-118.10284690683952,35.73049368218437,POINT (-118.10284690683952 35.73049368218437),157.0,124,36,7574.0,346.0,5.0,340.0,69.0,232.0,267.0,59.0,213.0,41.0,1.0,80.0,120.0,8.0,16.0,112.0
-118.20501636823941,34.5744577813734,POINT (-118.20501636823941 34.5744577813734),149.0,126,41,6096.0,315.0,13.0,301.0,76.0,228.0,237.0,71.0,289.0,67.0,1.0,96.0,185.0,3.0,7.0,183.0
-123.41292134869913,41.611190074997324,POINT (-123.41292134869913 41.611190074997324),89.0,107,39,5546.0,249.0,-20.0,269.0,19.0,162.0,172.0,19.0,1279.0,230.0,8.0,74.0,682.0,36.0,49.0,682.0
-119.12055239641383,36.012894279027904,POINT (-119.12055239641383 36.012894279027904),200.0,128,39,6864.0,382.0,56.0,326.0,116.0,300.0,300.0,112.0,312.0,61.0,0.0,83.0,168.0,2.0,2.0,168.0
-123.05355146916875,41.64385409953381,POINT (-123.05355146916875 41.64385409953381),88.0,114,38,6100.0,262.0,-31.0,293.0,11.0,168.0,180.0,11.0,805.0,156.0,7.0,79.0,463.0,30.0,34.0,463.0
-121.23613514608097,40.90735267030467,POINT (-121.23613514608097 40.90735267030467),94.0,121,35,7547.0,296.0,-48.0,344.0,-1.0,207.0,207.0,-1.0,488.0,75.0,5.0,57.0,222.0,19.0,19.0,222.0
-122.80106638017159,39.93008303102656,POINT (-122.80106638017159 39.93008303102656),76.0,118,40,5988.0,249.0,-46.0,295.0,-1.0,162.0,162.0,-1.0,871.0,157.0,3.0,74.0,446.0,20.0,20.0,446.0
-120.8548869746001,40.74933336843709,POINT (-120.8548869746001 40.74933336843709),73.0,121,35,7517.0,274.0,-70.0,344.0,-22.0,186.0,186.0,-22.0,490.0,82.0,6.0,59.0,238.0,23.0,23.0,238.0
-123.86333414775004,41.00152860444039,POINT (-123.86333414775004 41.00152860444039),114.0,85,40,4374.0,238.0,27.0,211.0,62.0,174.0,179.0,59.0,1442.0,280.0,4.0,79.0,782.0,31.0,31.0,778.0
-118.1374279971269,35.41948536597817,POINT (-118.1374279971269 35.41948536597817),127.0,127,38,7172.0,311.0,-20.0,331.0,44.0,203.0,231.0,35.0,204.0,39.0,1.0,80.0,115.0,7.0,14.0,108.0
